p1,r,p2
"(:Paper {publication_year: 2018,paper_index: 1805.08355,title: Opening the black box of deep learning,authors: [Dian Lei, Xiaoxiao Chen, Jianfei Zhao]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1708.02709,title: Recent Trends in Deep Learning Based Natural Language Processing,authors: [Tom Young, Devamanyu Hazarika, Soujanya Poria, Erik Cambria]})"
"(:Paper {publication_year: 2018,paper_index: 1805.08355,title: Opening the black box of deep learning,authors: [Dian Lei, Xiaoxiao Chen, Jianfei Zhao]})",[:CITES],"(:Paper {publication_year: 2017,paper_index: 1710.11431,title: Physics-guided Neural Networks (PGNN): An Application in Lake
  Temperature Modeling,authors: [Arka Daw, Anuj Karpatne, William Watkins, Jordan Read, Vipin Kumar]})"
"(:Paper {publication_year: 2018,paper_index: 1805.08355,title: Opening the black box of deep learning,authors: [Dian Lei, Xiaoxiao Chen, Jianfei Zhao]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1410.3831,title: An exact mapping between the Variational Renormalization Group and Deep
  Learning,authors: [Pankaj Mehta, David J. Schwab]})"
"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1410.3831,title: An exact mapping between the Variational Renormalization Group and Deep
  Learning,authors: [Pankaj Mehta, David J. Schwab]})"
"(:Paper {publication_year: 2017,paper_index: 1704.01552,title: Deep Learning and Quantum Entanglement: Fundamental Connections with
  Implications to Network Design,authors: [Yoav Levine, David Yakira, Nadav Cohen, Amnon Shashua]})",[:CITES],"(:Paper {publication_year: 2014,paper_index: 1410.3831,title: An exact mapping between the Variational Renormalization Group and Deep
  Learning,authors: [Pankaj Mehta, David J. Schwab]})"
"(:Paper {publication_year: 2018,paper_index: 1805.08355,title: Opening the black box of deep learning,authors: [Dian Lei, Xiaoxiao Chen, Jianfei Zhao]})",[:CITES],"(:Paper {publication_year: 2018,paper_index: 1803.09780,title: Quantum Entanglement in Deep Learning Architectures,authors: [Yoav Levine, Or Sharir, Nadav Cohen, Amnon Shashua]})"
"(:Paper {publication_year: 2018,paper_index: 1805.08355,title: Opening the black box of deep learning,authors: [Dian Lei, Xiaoxiao Chen, Jianfei Zhao]})",[:CITES],"(:Paper {publication_year: 2018,paper_index: 1803.08834,title: What Do We Understand About Convolutional Networks?,authors: [Isma Hadji, Richard P. Wildes]})"
"(:Paper {publication_year: 2018,paper_index: 1805.08355,title: Opening the black box of deep learning,authors: [Dian Lei, Xiaoxiao Chen, Jianfei Zhao]})",[:CITES],"(:Paper {publication_year: 2018,paper_index: 1804.08071,title: Decoupled Networks,authors: [Weiyang Liu, Zhen Liu, Zhiding Yu, Bo Dai, Rongmei Lin, Yisen Wang, James M. Rehg, Le Song]})"
"(:Paper {publication_year: 2018,paper_index: 1805.08355,title: Opening the black box of deep learning,authors: [Dian Lei, Xiaoxiao Chen, Jianfei Zhao]})",[:CITES],"(:Paper {publication_year: 2018,paper_index: 1804.04438,title: Pooling is neither necessary nor sufficient for appropriate deformation
  stability in CNNs,authors: [Avraham Ruderman, Neil C. Rabinowitz, Ari S. Morcos, Daniel Zoran]})"
"(:Paper {publication_year: 2018,paper_index: 1805.08355,title: Opening the black box of deep learning,authors: [Dian Lei, Xiaoxiao Chen, Jianfei Zhao]})",[:CITES],"(:Paper {publication_year: 2018,paper_index: 1802.02840,title: Neural Network Renormalization Group,authors: [Shuo-Hui Li, Lei Wang]})"
"(:Paper {publication_year: 2018,paper_index: 1805.08355,title: Opening the black box of deep learning,authors: [Dian Lei, Xiaoxiao Chen, Jianfei Zhao]})",[:CITES],"(:Paper {publication_year: 2018,paper_index: 1804.03235,title: Large scale distributed neural network training through online
  distillation,authors: [Rohan Anil, Gabriel Pereyra, Alexandre Passos, Robert Ormandi, George E. Dahl, Geoffrey E. Hinton]})"
